ID,Hashes,Algorithms,VirusTotal,,,,Basic Properties,,,,History,,,,,"Names (top 3 names only, null if < 3 names)",,,
,,,Detection (sample: 4/69),Hash-MD5,Hash-SHA1,Hash-SHA256,File Type,Magic,Creation Time,Signature Date,First Seen in the Wild,First Submission,Last Submission,Last Analysis,Name1,Name2,Name3,Verdict (Benign or Malicious)
27,f684c1d7d38edb825e69e4974de3235927a99a17cbd1b483697d436fa4036709,SHA256,41/76,22d7f2a021f96dc5278ef14b08987f73,989f2e2665b3b80a1466d4f635f576b69a0c7f36,f684c1d7d38edb825e69e4974de3235927a99a17cbd1b483697d436fa4036709,ELF,"ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped",N/A,N/A,2024-06-16 12:02:04,2024-06-16 10:52:59,2024-06-17 19:35:29,2025-01-31 02:02:04,f684c1d7d38edb825e69e4974de3235927a99a17cbd1b483697d436fa4036709.elf,UnHAnaAW.arm5,22d7f2a021f96dc5278ef14b08987f73.virus,Malicious
28,f6950571a084fd766a0e008e50d4cbe005d60247,SHA1,0/72,c38513f380ba0c1e197d74f190a24109,f6950571a084fd766a0e008e50d4cbe005d60247,248b8e5113c7bba5d379f688f3846246defcbd9f188d1fc3be5eaf71f5d7b5b6,ZIP,"Zip archive data, at least v1.0 to extract",N/A,N/A,N/A,2015-03-25 16:59:14,2022-11-24 15:37:12,2019-06-11 04:30:01,vbBot_Jan 2007.zip,vbBot - Jan 2007.zip,vbBot_Jan%202007.zip,Benign
29,f6a6fe13690fb23df4afe0060a4cdbe2bc1efb12e4f049a230598dded5c48c05,SHA256,22/76,8ae80fb68d0f1da36dff68a85ee5f4e4,43ff16331a14389cc132a0ddbad4894389df9910,f6a6fe13690fb23df4afe0060a4cdbe2bc1efb12e4f049a230598dded5c48c05,Android,"Zip archive data, at least v2.0 to extract, compression method=deflate",N/A,N/A,N/A,2024-06-17 02:12:16,2024-11-22 10:00:52,2025-02-21 06:01:01,f6a6fe13690fb23df4afe0060a4cdbe2bc1efb12e4f049a230598dded5c48c05.apk,f6a6fe13690fb23df4afe0060a4cdbe2bc1efb12e4f049a230598dded5c48c05,null,Malicious
30,f6baf5c6b3a189698013bed384d4edb6,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
31,f6ec0b8d3141cec258d8ce4122112e4c31f78f5f2651632d827bfcc91d0da81d,SHA256,42/75,c5aeff5a4d5ced7a438c0b8a21cd2acb,106d9c87387d145ff855ee1685cc25a1fb99b825,f6ec0b8d3141cec258d8ce4122112e4c31f78f5f2651632d827bfcc91d0da81d,ELF,"ELF 32-bit LSB executable, Renesas SH, version 1 (SYSV), statically linked, not stripped",N/A,N/A,2024-06-16 12:02:01,2024-06-16 10:52:57,2024-06-17 19:38:50,2025-02-09 16:02:39,f6ec0b8d3141cec258d8ce4122112e4c31f78f5f2651632d827bfcc91d0da81d.elf,UnHAnaAW.sh4,c5aeff5a4d5ced7a438c0b8a21cd2acb.virus,Malicious
32,f704ebe7d5ba61ea965d484361bbb672,MD5,23/76,f704ebe7d5ba61ea965d484361bbb672,68767821178ed2dd18f0770efbecbaa97f75c7b7,4f10c7ffc34e54c72c82e92f6a1d7992fb5c55ea9a98760195ccf6dc9a541107,Android,"Zip archive data, at least v2.0 to extract, compression method=deflate",N/A,N/A,N/A,2024-06-17 02:12:41,2024-11-20 18:32:52,2025-01-18 08:01:59,4f10c7ffc34e54c72c82e92f6a1d7992fb5c55ea9a98760195ccf6dc9a541107.apk,4f10c7ffc34e54c72c82e92f6a1d7992fb5c55ea9a98760195ccf6dc9a541107,null,Malicious
33,f74968ddce728020a6b4a1378bbf4d41,MD5,32/76,f74968ddce728020a6b4a1378bbf4d41,ba807d98906bf7dc33eb237c4da13162f599b595,ec99d76761dc1fc2cb6c25f92f80764331e04e060dcf21a228379ad138006d50,Windows shortcut,"MS Windows shortcut, Item id list present, Points to a file or directory, Has Relative path, Has command line arguments, Icon number=1, Archive, ctime=Tue Feb 13 23:11:58 2024, mtime=Thu Apr 25 10:33:27 2024, atime=Tue Feb 13 23:11:58 2024, length=455680, window=hidenormalshowminimized",2024-02-13 23:11:58,N/A,N/A,2024-05-28 08:04:09,2024-06-15 16:16:16,2024-12-06 13:35:27,ec99d76761dc1fc2cb6c25f92f80764331e04e060dcf21a228379ad138006d50.lnk,ec99d76761dc1fc2cb6c25f92f80764331e04e060dcf21a228379ad138006d50,Telex88357pdflnk.lnk,Malicious
34,f7bc0e7b1a3f57977fec35320a0662fc081ef25084cc2c5eee4462a488efda97,SHA256,0/76,0d184f4e4b0a1d7bf3fcd37cfaf580e7,85cddced2fadbec6c45888bd254ee1cde1a34410,f7bc0e7b1a3f57977fec35320a0662fc081ef25084cc2c5eee4462a488efda97,Win32 EXE,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows",1970-01-04 20:59:20,N/A,N/A,2017-03-07 17:26:43,2024-11-26 14:57:50,2024-11-26 14:57:50,f7bc0e7b1a3f57977fec35320a0662fc081ef25084cc2c5eee4462a488efda97.exe,gdbserver.exe,b214.exe,Benign
35,f8090a5ffaab78b788cfb57796624c98,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
36,f815d0224810bd3d8edbd45b47629bff,MD5,42/75,f815d0224810bd3d8edbd45b47629bff,efbda9171b3094dca6a4dc588c84818a1ac3ca06,41d3bee31509daf10b377cfb3bd612380b90cb2d90d4731497997f76bad7bc72,ELF,"ELF 32-bit MSB executable, Motorola m68k, 68020, version 1 (SYSV), statically linked, stripped",N/A,N/A,2024-06-16 11:01:39,2024-06-16 00:23:33,2024-06-17 16:39:42,2025-02-10 00:04:29,41d3bee31509daf10b377cfb3bd612380b90cb2d90d4731497997f76bad7bc72.elf,06iSfc68k,41d3bee31509daf1_06iSfc68k,Malicious
37,f8afd0590eef36ab5cd646ee6bd5ab93,MD5,40/75,f8afd0590eef36ab5cd646ee6bd5ab93,ee6387a47701099c5eaa9fc4adee84c0a6a8ac59,bfb4f258b9600f86e43da9ac8137972db7168cb99b7d81814d5092249a66fd20,ELF,"ELF 32-bit MSB executable, Motorola m68k, 68020, version 1 (SYSV), statically linked, stripped",N/A,N/A,2024-06-16 11:01:38,2024-06-16 08:40:09,2024-06-17 18:46:59,2025-02-06 07:01:37,bfb4f258b9600f86e43da9ac8137972db7168cb99b7d81814d5092249a66fd20.elf,bot.m68k,zbetcheckin_tracker_bot.m68k,Malicious
38,f8fe4715142475f64c76ca56f3954022407c2e4b4abc23f84c8e5958b0c616a1,SHA256,0/73,a8e496d3aec891e41076dec9753cf748,7c7d7e27b1fe0b13bf7ceaef842801f8a32a8414,f8fe4715142475f64c76ca56f3954022407c2e4b4abc23f84c8e5958b0c616a1,Office Open XML Presentation,"Zip archive data, at least v2.0 to extract",2015-03-02 17:08:26,N/A,N/A,2020-03-08 05:54:09,2023-03-16 01:23:03,2023-03-30 23:01:09,f8fe4715142475f64c76ca56f3954022407c2e4b4abc23f84c8e5958b0c616a1.ole,Aerial%20Work%20Platform%20Safety.pptx,null,Benign
39,f9524f9057af1310779690c466bece9c,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
40,f962823ebe50c2e986f40b84682f6838,MD5,41/76,f962823ebe50c2e986f40b84682f6838,ea9207d4cc4edc1cd90c412e9324e2443cb796d2,a252e2467a01c3162af02783db4fa0f1144fa7b9f1f25e1bfdacff2404dc4c51,ELF,"ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, not stripped",N/A,N/A,2024-06-16 12:01:36,2024-06-16 10:52:55,2024-06-17 18:23:33,2025-01-19 16:03:42,a252e2467a01c3162af02783db4fa0f1144fa7b9f1f25e1bfdacff2404dc4c51.elf,UnHAnaAW.mpsl,f962823ebe50c2e986f40b84682f6838.virus,Malicious
41,f9a90d40667ff14f7afb5eeb99cdce60,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
42,f9ed0155b6015f11ff8036c67adecc85fc6ae1256420cc0564a15f452d124cc9,SHA256,0/76,6e840051853eb86c217b8f93e9cb692b,4b7826aa474f670ddd11ddab284f0c88fc01d3bc,f9ed0155b6015f11ff8036c67adecc85fc6ae1256420cc0564a15f452d124cc9,Win32 EXE,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows",1970-01-01 14:11:44,N/A,N/A,2017-03-10 10:55:01,2024-11-28 06:15:25,2024-11-28 06:15:25,f9ed0155b6015f11ff8036c67adecc85fc6ae1256420cc0564a15f452d124cc9.exe,defncopy.exe,benign_964.exe,Benign
43,fa30f4d42ad5d1226468e043e352ee36,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
44,fa44bc5910edd3c90fe23083fb3d6071,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
45,fa6d985481371c210bbb4df9d490b8f0,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
46,fa7383138b89d723bf99d6b40e9758ae,MD5,62/76,fa7383138b89d723bf99d6b40e9758ae,32b4bb823a8decec83ff94f5bc944d3501c6a4fe,0d4afd2cfed2d28a10ab663aa0c51f4b60d587b49020893490c5db7cbc9d0a4d,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2023-08-19 16:23:24,N/A,2024-06-14 20:01:32,2024-06-14 19:14:50,2024-06-17 18:42:19,2025-01-23 21:48:03,0d4afd2cfed2d28a10ab663aa0c51f4b60d587b49020893490c5db7cbc9d0a4d.exe,0d4afd2cfed2d28a10ab663aa0c51f4b60d587b49020893490c5db7cbc9d0a4d.bin,download.php,Malicious
47,fa8c6f9157f9748e80a8c76167f5a673,MD5,45/76,fa8c6f9157f9748e80a8c76167f5a673,ddf24385e36214be0337b27f8e5a80bf910413a6,412dde5b06d7bd1c11f90045fc823818a690c87b044c1aa3a86e1a3fe8150f98,ELF,"ELF 64-bit LSB executable, x86-64, version 1 (SYSV), statically linked, stripped",N/A,N/A,2024-06-16 16:01:40,2024-06-16 15:43:46,2024-06-17 23:24:18,2025-01-31 09:03:01,Tig5u64.,412dde5b06d7bd1c11f90045fc823818a690c87b044c1aa3a86e1a3fe8150f98.elf,Tig5u64,Malicious
48,fa91849ad4f1472b9cf927df60247e41813e0966,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
49,fa98c952dc568cbea659ad8505ed2ee177ee6ad22dcec6b879994299d2cff278,SHA256,0/76,29c24902fe968094551c99fc46802f6a,8ccec4dbc29900f9359728cf55131b53687b619b,fa98c952dc568cbea659ad8505ed2ee177ee6ad22dcec6b879994299d2cff278,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2012-07-27 00:03:11,N/A,2020-06-11 13:11:10,2013-11-14 12:25:04,2024-11-28 06:33:22,2024-11-28 06:33:22,TDEnvCleanup.exe,fa98c952dc568cbea659ad8505ed2ee177ee6ad22dcec6b879994299d2cff278.exe,clamav-d13dedaa7884dfdfce84ed2bda5bba43.tmp,Benign
50,faa796746a8b3210f58bdbe0ad29cde5,MD5,30/76,faa796746a8b3210f58bdbe0ad29cde5,6b60adb1c5e17b66b96ab93c783361e015d3486b,fbd864050124a7e4bca9f618b6343125f8a38041d99a5ecceca3686a3da57e32,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2023-04-22 19:18:55,N/A,2024-06-16 04:02:22,2024-06-16 03:55:06,2024-06-22 18:48:23,2025-01-30 18:38:06,fbd864050124a7e4bca9f618b6343125f8a38041d99a5ecceca3686a3da57e32.exe,fbd864050124a7e4bca9f618b6343125f8a38041d99a5ecceca3686a3da57e32.exe.vir,faa796746a8b3210f58bdbe0ad29cde5.virus,Malicious
51,fada28904a9f4ddecc5d1bd4b7216d22,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
52,fadf5f5ca171a43609aa3fc48be3cdff,MD5,52/76,fadf5f5ca171a43609aa3fc48be3cdff,7e1ff00d54798a37707803a618fd643785621d10,1e4e053fbd54a639263a210fd950798697dc6d794e83b5d22ffd8a9a20f302d5,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows, UPX compressed",2024-06-15 04:30:38,N/A,N/A,2024-06-15 04:57:51,2024-06-16 09:22:31,2025-02-12 16:01:17,1e4e053fbd54a639263a210fd950798697dc6d794e83b5d22ffd8a9a20f302d5.exe,CB1.exe,null,Malicious
53,fb1a05851b65e442983342cb1df3fb022112576aaf5d51774baf5dea3acc111e,SHA256,0/76,d005ea840060488e4f8375ed89987444,ee70b7073a7687cb14ae007c3f0e8c01b9928453,fb1a05851b65e442983342cb1df3fb022112576aaf5d51774baf5dea3acc111e,Win32 EXE,"PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows",2012-07-26 20:50:54,N/A,2012-07-26 12:50:54,2012-09-26 11:10:10,2024-12-12 22:13:42,2024-12-12 22:13:42,fb1a05851b65e442983342cb1df3fb022112576aaf5d51774baf5dea3acc111e.exe,UserControlTestContainer.exe,._cache_%SAMPLENAME%,Benign
54,fb1b9e04cb4480baf2a05bd63ecdadba039031be,SHA1,0/77,0bcc44292d3a2de1bf8bef45b4254172,fb1b9e04cb4480baf2a05bd63ecdadba039031be,4212ce00382533d207455c71fa3a456f32b172745c268e3d6761f4cf966d1925,ZIP,"Zip archive data, at least v2.0 to extract, compression method=deflate",N/A,N/A,N/A,2021-09-26 17:29:45,2024-12-10 21:58:21,2024-09-20 22:54:02,Win32.AgentTesla.zip,null,null,Benign
55,fb2e23f72a1345e189389e64dd84509e26c4f29f,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
56,fb450f368f527f39395d5b1fac10febc6c3495a1,SHA1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
57,fb517982a76b1cab9f8ce9b6d2dcdf13,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
58,fb7aaec5041bbe82059d9ade519db9168ca7ec55f1d6bd12e526300a5a8fa06d,SHA256,0/76,9259b142ed2ba3fe75b2359ea5b4f7d8,e482b7f22f86c90101dc8274d688f7b0327ad11e,fb7aaec5041bbe82059d9ade519db9168ca7ec55f1d6bd12e526300a5a8fa06d,Win32 EXE,"PE32+ executable (console) x86-64, for MS Windows",2016-09-30 13:36:07,N/A,2016-09-30 06:36:07,2017-01-02 13:04:22,2024-11-28 06:26:45,2025-03-08 12:30:40,usResourceCompiler.exe,fb7aaec5041bbe82059d9ade519db9168ca7ec55f1d6bd12e526300a5a8fa06d.exe,executable.exe,Benign
59,fb8b353a1b458e511f019eeb45f935bd,MD5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,null,null,null,N/A
60,fbd864050124a7e4bca9f618b6343125f8a38041d99a5ecceca3686a3da57e32,SHA256,30/76,faa796746a8b3210f58bdbe0ad29cde5,6b60adb1c5e17b66b96ab93c783361e015d3486b,fbd864050124a7e4bca9f618b6343125f8a38041d99a5ecceca3686a3da57e32,Win32 EXE,"PE32 executable (GUI) Intel 80386, for MS Windows",2023-04-22 19:18:55,N/A,2024-06-16 04:02:22,2024-06-16 03:55:06,2024-06-22 18:48:23,2025-01-30 18:38:06,fbd864050124a7e4bca9f618b6343125f8a38041d99a5ecceca3686a3da57e32.exe,fbd864050124a7e4bca9f618b6343125f8a38041d99a5ecceca3686a3da57e32.exe.vir,faa796746a8b3210f58bdbe0ad29cde5.virus,Malicious
61,fc0f4258fea1de43254f9438a5b3d77e,MD5,44/76,fc0f4258fea1de43254f9438a5b3d77e,6164a25ffb05cec56a7dfb3de9a12adb79e58fc0,7f1c2b5a8663e5ee11535c88bbe738b844552145b8703af21a4f6f82365bfb32,ELF,"ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, stripped",N/A,N/A,2024-06-16 14:01:39,2024-06-16 12:36:41,2024-06-17 17:55:06,2025-02-17 04:09:06,7f1c2b5a8663e5ee11535c88bbe738b844552145b8703af21a4f6f82365bfb32.elf,bot.arm6,7f1c2b5a8663e5ee11535c88bbe738b844552145b8703af21a4f6f82365bfb32,Malicious
62,fc373b3933db2efe15c884dbf0ec4fbb89fdebcdb7a93eb463ad3a97f673a909,SHA256,0/76,33658edac02429a30b480d215bd92132,4a28afcfe9ff578f4cc37642af2e75b28925f959,fc373b3933db2efe15c884dbf0ec4fbb89fdebcdb7a93eb463ad3a97f673a909,Win32 EXE,"PE32 executable (console) Intel 80386 (stripped to external PDB), for MS Windows",1970-01-02 22:54:18,N/A,2020-06-11 13:11:18,2015-02-08 15:48:49,2024-11-28 06:03:06,2024-11-28 06:03:06,sed.exe,fc373b3933db2efe15c884dbf0ec4fbb89fdebcdb7a93eb463ad3a97f673a909.exe,benign_847.exe,Benign
